file_size,compression_ratio,compression_time,compression_type,decompression_time,storage_type
91428,4.8559592096877,0.014012813568115234,gzip,0.0,NVMe
91428,4.5511473940962714,0.0030028820037841797,zlib,0.0,NVMe
91428,6.631464423007181,0.006005764007568359,bz2,0.0010004043579101562,NVMe
91428,5.609079754601227,0.02602362632751465,lzma,0.001001119613647461,NVMe
91428,4.5156319454734035,0.011009931564331055,zipfile,0.0020020008087158203,NVMe
91428,4.786054546406324,0.02001786231994629,tarfile,0.0020017623901367188,NVMe
91474,4.849387690187139,0.013012409210205078,gzip,0.0010008811950683594,NVMe
91474,4.567990012484395,0.003002643585205078,zlib,0.0,NVMe
91474,6.6706045358419015,0.0050046443939208984,bz2,0.0010008811950683594,NVMe
91474,5.617415868337018,0.02502274513244629,lzma,0.0010008811950683594,NVMe
91474,4.532230094634098,0.010008811950683594,zipfile,0.002002716064453125,NVMe
91474,4.778456877187484,0.017525672912597656,tarfile,0.001996278762817383,NVMe
91393,4.835608465608465,0.014011859893798828,gzip,0.0,NVMe
91393,4.555300802472212,0.0030028820037841797,zlib,0.0,NVMe
91393,6.6477305789933085,0.006005048751831055,bz2,0.0010013580322265625,NVMe
91393,5.626262004432406,0.030027389526367188,lzma,0.0010006427764892578,NVMe
91393,4.519707235052668,0.010008811950683594,zipfile,0.0010013580322265625,NVMe
91393,4.764270447792316,0.01801609992980957,tarfile,0.0020024776458740234,NVMe
91398,4.856171298018171,0.014014482498168945,gzip,0.0,NVMe
91398,4.5699,0.003002643585205078,zlib,0.0,NVMe
91398,6.6830944720678565,0.0050046443939208984,bz2,0.0020017623901367188,NVMe
91398,5.6210332103321035,0.025171279907226562,lzma,0.001001596450805664,NVMe
91398,4.534080761980356,0.009007453918457031,zipfile,0.0020024776458740234,NVMe
91398,4.784985079315219,0.018015623092651367,tarfile,0.0020020008087158203,NVMe
367541,5.018857876338213,0.05905628204345703,gzip,0.0010006427764892578,NVMe
367541,4.693830376869341,0.012011051177978516,zlib,0.001001119613647461,NVMe
367541,7.692521819209276,0.02402210235595703,bz2,0.008007049560546875,NVMe
367541,6.276743630029373,0.10609602928161621,lzma,0.0030028820037841797,NVMe
367541,4.684378226125081,0.022029876708984375,zipfile,0.002997159957885742,NVMe
367541,4.998721558067104,0.06406807899475098,tarfile,0.004006147384643555,NVMe
367538,5.034767123287671,0.05806851387023926,gzip,0.0009949207305908203,NVMe
367538,4.710515860301186,0.013013362884521484,zlib,0.0010013580322265625,NVMe
367538,7.6812054588392655,0.023024320602416992,bz2,0.0076177120208740234,NVMe
367538,6.276692397021654,0.10809826850891113,lzma,0.0030028820037841797,NVMe
367538,4.7009963802872745,0.02101922035217285,zipfile,0.0030045509338378906,NVMe
367538,5.014913561380289,0.0640568733215332,tarfile,0.004003047943115234,NVMe
367758,5.034470485160442,0.0570528507232666,gzip,0.0020020008087158203,NVMe
367758,4.7122483758953395,0.012011289596557617,zlib,0.0010004043579101562,NVMe
367758,7.680345842992294,0.023021459579467773,bz2,0.008628606796264648,NVMe
367758,6.269314694851688,0.11470484733581543,lzma,0.0040051937103271484,NVMe
367758,4.702727586603752,0.023018836975097656,zipfile,0.0020017623901367188,NVMe
367758,5.01456270964575,0.06405830383300781,tarfile,0.003003358840942383,NVMe
367503,5.044722645472141,0.058054208755493164,gzip,0.0020017623901367188,NVMe
367503,4.709765474817378,0.012010812759399414,zlib,0.001001119613647461,NVMe
367503,7.718381148401731,0.02302098274230957,bz2,0.008007287979125977,NVMe
367503,6.284251025991792,0.10739421844482422,lzma,0.00335693359375,NVMe
367503,4.7002481199160995,0.02101922035217285,zipfile,0.0020020008087158203,NVMe
367503,5.0246513535684985,0.06405949592590332,tarfile,0.0030040740966796875,NVMe
367563,5.03145661369143,0.06005454063415527,gzip,0.0010006427764892578,NVMe
367563,4.7048064,0.012623310089111328,zlib,0.0005087852478027344,NVMe
367563,7.6860649910083225,0.023146629333496094,bz2,0.008008003234863281,NVMe
367563,6.281410212591428,0.10709667205810547,lzma,0.003002643585205078,NVMe
367563,4.6953106038348045,0.021019697189331055,zipfile,0.003002166748046875,NVMe
367563,5.011493782722513,0.06505870819091797,tarfile,0.003002643585205078,NVMe
367737,5.0441957121106125,0.05805373191833496,gzip,0.0010004043579101562,NVMe
367737,4.715967528886723,0.012011051177978516,zlib,0.0010008811950683594,NVMe
367737,7.695174520800201,0.02302098274230957,bz2,0.008007287979125977,NVMe
367737,6.2886825364252,0.10709738731384277,lzma,0.0030028820037841797,NVMe
367737,4.706431176809368,0.02302241325378418,zipfile,0.0020017623901367188,NVMe
367737,5.024004043936827,0.06305623054504395,tarfile,0.004004240036010742,NVMe
367818,5.026346716226188,0.05805253982543945,gzip,0.0010018348693847656,NVMe
367818,4.700489450614049,0.013010978698730469,zlib,0.001001119613647461,NVMe
367818,7.672625628402762,0.02302074432373047,bz2,0.008007287979125977,NVMe
367818,6.250730745700496,0.10609650611877441,lzma,0.0040035247802734375,NVMe
367818,4.6910176127740435,0.02101922035217285,zipfile,0.0020017623901367188,NVMe
367818,5.006506234006642,0.06305694580078125,tarfile,0.004004001617431641,NVMe
367434,5.044467936133115,0.05805373191833496,gzip,0.0009996891021728516,NVMe
367434,4.710571523807082,0.012011289596557617,zlib,0.0010006427764892578,NVMe
