file_size,compression_ratio,compression_time,compression_type,decompression_time,storage_type
91428,4.8559592096877,0.014012813568115234,gzip,0.0,SSD
91428,4.5511473940962714,0.0030019283294677734,zlib,0.0,SSD
91428,6.631464423007181,0.006005287170410156,bz2,0.0020017623901367188,SSD
91428,5.609079754601227,0.03102850914001465,lzma,0.001001119613647461,SSD
91428,4.5156319454734035,0.012010574340820312,zipfile,0.003002643585205078,SSD
91428,4.786054546406324,0.02101898193359375,tarfile,0.0020017623901367188,SSD
91474,4.849387690187139,0.01394033432006836,gzip,0.0009975433349609375,SSD
91474,4.567990012484395,0.0030028820037841797,zlib,0.0,SSD
91474,6.6706045358419015,0.006006717681884766,bz2,0.0020008087158203125,SSD
91474,5.617415868337018,0.030026912689208984,lzma,0.0010008811950683594,SSD
91474,4.532230094634098,0.013012170791625977,zipfile,0.0010006427764892578,SSD
91474,4.778456877187484,0.023021459579467773,tarfile,0.0020020008087158203,SSD
91393,4.835608465608465,0.015014410018920898,gzip,0.0010006427764892578,SSD
91393,4.555300802472212,0.003002166748046875,zlib,0.001001119613647461,SSD
91393,6.6477305789933085,0.006005287170410156,bz2,0.002003908157348633,SSD
91393,5.626262004432406,0.0320279598236084,lzma,0.0010004043579101562,SSD
91393,4.519707235052668,0.012010335922241211,zipfile,0.001001119613647461,SSD
91393,4.764270447792316,0.024022579193115234,tarfile,0.0020012855529785156,SSD
91398,4.856171298018171,0.015014171600341797,gzip,0.0,SSD
91398,4.5699,0.004003047943115234,zlib,0.0,SSD
91398,6.6830944720678565,0.006006479263305664,bz2,0.0020020008087158203,SSD
91398,5.6210332103321035,0.031026124954223633,lzma,0.0010018348693847656,SSD
91398,4.534080761980356,0.011010169982910156,zipfile,0.0010001659393310547,SSD
91398,4.784985079315219,0.021018266677856445,tarfile,0.0030035972595214844,SSD
367541,5.018857876338213,0.062307119369506836,gzip,0.0009987354278564453,SSD
367541,4.693830376869341,0.014012575149536133,zlib,0.001001119613647461,SSD
367541,7.692521819209276,0.02702474594116211,bz2,0.01101064682006836,SSD
367541,6.276743630029373,0.146132230758667,lzma,0.004003286361694336,SSD
367541,4.684378226125081,0.02502298355102539,zipfile,0.0020017623901367188,SSD
367541,4.998721558067104,0.07106471061706543,tarfile,0.004003763198852539,SSD
367538,5.034767123287671,0.06305480003356934,gzip,0.0010023117065429688,SSD
367538,4.710515860301186,0.013011455535888672,zlib,0.001001119613647461,SSD
367538,7.6812054588392655,0.030027151107788086,bz2,0.010009765625,SSD
367538,6.276692397021654,0.14413022994995117,lzma,0.0040051937103271484,SSD
367538,4.7009963802872745,0.024020910263061523,zipfile,0.0030024051666259766,SSD
367538,5.014913561380289,0.07006406784057617,tarfile,0.0040035247802734375,SSD
367758,5.034470485160442,0.06305789947509766,gzip,0.002001523971557617,SSD
367758,4.7122483758953395,0.013011693954467773,zlib,0.0,SSD
367758,7.680345842992294,0.028026103973388672,bz2,0.009007930755615234,SSD
367758,6.269314694851688,0.141127347946167,lzma,0.004004240036010742,SSD
367758,4.702727586603752,0.024021387100219727,zipfile,0.003002166748046875,SSD
367758,5.01456270964575,0.07006359100341797,tarfile,0.0030028820037841797,SSD
367503,5.044722645472141,0.06505918502807617,gzip,0.002002239227294922,SSD
367503,4.709765474817378,0.013011455535888672,zlib,0.0010006427764892578,SSD
367503,7.718381148401731,0.028027057647705078,bz2,0.011009931564331055,SSD
367503,6.284251025991792,0.1511363983154297,lzma,0.0030028820037841797,SSD
367503,4.7002481199160995,0.026308059692382812,zipfile,0.0020012855529785156,SSD
367503,5.0246513535684985,0.08307528495788574,tarfile,0.0030028820037841797,SSD
367563,5.03145661369143,0.06505918502807617,gzip,0.002003192901611328,SSD
367563,4.7048064,0.013010501861572266,zlib,0.001001596450805664,SSD
367563,7.6860649910083225,0.028023958206176758,bz2,0.011240005493164062,SSD
367563,6.281410212591428,0.1358938217163086,lzma,0.0030028820037841797,SSD
367563,4.6953106038348045,0.02101922035217285,zipfile,0.0020020008087158203,SSD
367563,5.011493782722513,0.05805182456970215,tarfile,0.003002643585205078,SSD
367737,5.0441957121106125,0.05004549026489258,gzip,0.0010020732879638672,SSD
367737,4.715967528886723,0.011011123657226562,zlib,0.0009989738464355469,SSD
367737,7.695174520800201,0.022020578384399414,bz2,0.007005929946899414,SSD
367737,6.2886825364252,0.11810708045959473,lzma,0.0030031204223632812,SSD
367737,4.706431176809368,0.020018339157104492,zipfile,0.0020012855529785156,SSD
367737,5.024004043936827,0.06005573272705078,tarfile,0.004002809524536133,SSD
367818,5.026346716226188,0.054049015045166016,gzip,0.0010008811950683594,SSD
367818,4.700489450614049,0.011010408401489258,zlib,0.0010004043579101562,SSD
367818,7.672625628402762,0.02402210235595703,bz2,0.008006811141967773,SSD
367818,6.250730745700496,0.12511444091796875,lzma,0.003002166748046875,SSD
367818,4.6910176127740435,0.02101898193359375,zipfile,0.0020017623901367188,SSD
367818,5.006506234006642,0.0570521354675293,tarfile,0.004003763198852539,SSD
367434,5.044467936133115,0.05104637145996094,gzip,0.0010013580322265625,SSD
367434,4.710571523807082,0.011009454727172852,zlib,0.001001119613647461,SSD
367434,7.698177247014456,0.021251916885375977,bz2,0.00700688362121582,SSD
367434,6.279205687333379,0.11310315132141113,lzma,0.003002166748046875,SSD
367434,4.701049129989765,0.02001786231994629,zipfile,0.002002239227294922,SSD
367434,5.023845333479176,0.06005406379699707,tarfile,0.003002166748046875,SSD
367472,5.031657355679702,0.05004549026489258,gzip,0.001001596450805664,SSD
367472,4.702738674174558,0.012010335922241211,zlib,0.0,SSD
367472,7.653115628123959,0.022019624710083008,bz2,0.00700688362121582,SSD
367472,6.277280491971302,0.10909891128540039,lzma,0.0030028820037841797,SSD
367472,4.69324886970293,0.020018577575683594,zipfile,0.0020024776458740234,SSD
367472,5.01168801058331,0.05789327621459961,tarfile,0.003001689910888672,SSD
367562,5.033096441139821,0.052047014236450195,gzip,0.0010006427764892578,SSD
367562,4.697758237263874,0.011010169982910156,zlib,0.0,SSD
367562,7.678657976100944,0.02602362632751465,bz2,0.008006572723388672,SSD
367562,6.256161492374727,0.12338423728942871,lzma,0.003002643585205078,SSD
367562,4.68829081632653,0.02201986312866211,zipfile,0.002002239227294922,SSD
367562,5.0135308399487135,0.059053897857666016,tarfile,0.003002166748046875,SSD
108585,9.778027915353444,0.0030031204223632812,gzip,0.0,SSD
108585,9.273635664873174,0.001001119613647461,zlib,0.0,SSD
108585,12.192342241185717,0.007006645202636719,bz2,0.0020012855529785156,SSD
108585,11.35826359832636,0.0205233097076416,lzma,0.0,SSD
108585,9.127090863242834,0.010008811950683594,zipfile,0.0010008811950683594,SSD
108585,9.611843852350182,0.00800776481628418,tarfile,0.002001523971557617,SSD
108278,9.798914027149321,0.002002239227294922,gzip,0.0010008811950683594,SSD
108278,9.363369076444137,0.001001119613647461,zlib,0.0,SSD
108278,12.49025262429346,0.006004810333251953,bz2,0.001001119613647461,SSD
108278,11.33089158643784,0.02231001853942871,lzma,0.0,SSD
108278,9.21358066712049,0.009008407592773438,zipfile,0.0010008811950683594,SSD
108278,9.634988432105358,0.009008169174194336,tarfile,0.002002716064453125,SSD
167813770,10.694249661434965,4.211145639419556,gzip,0.4303903579711914,SSD
167813770,10.079655782172367,1.8557558059692383,zlib,0.264240026473999,SSD
167813770,17.139064126602968,12.231467008590698,bz2,2.9348084926605225,SSD
167813770,15.396984824112598,48.51245903968811,lzma,1.2386877536773682,SSD
167813770,10.079554070988834,2.7081992626190186,zipfile,0.31981587409973145,SSD
167813770,10.694085419740912,4.629631280899048,tarfile,0.5535287857055664,SSD
205242368,10.500992885971502,6.110917329788208,gzip,0.6305727958679199,SSD
205242368,9.917169493507334,2.871147394180298,zlib,0.36533260345458984,SSD
205242368,17.160045847662122,17.164211988449097,bz2,3.60079026222229,SSD
205242368,15.250589166470252,57.6336395740509,lzma,1.2819998264312744,SSD
205242368,9.917088990109503,2.6418888568878174,zipfile,0.49002695083618164,SSD
205242368,10.500861793389793,5.1874048709869385,tarfile,0.5747878551483154,SSD
126,1.2,0.0,gzip,0.0,SSD
126,1.3548387096774193,0.0,zlib,0.0,SSD
126,1.0677966101694916,0.001001119613647461,bz2,0.0,SSD
126,0.8513513513513513,0.004003763198852539,lzma,0.0,SSD
126,0.4452296819787986,0.003003358840942383,zipfile,0.0010001659393310547,SSD
126,0.45,0.008006811141967773,tarfile,0.001001596450805664,SSD
28852,2.705551387846962,0.0010004043579101562,gzip,0.0,SSD
28852,2.698466142910587,0.0010004043579101562,zlib,0.0,SSD
28852,3.1997338360873906,0.002002239227294922,bz2,0.0010008811950683594,SSD
28852,3.1037005163511187,0.008008003234863281,lzma,0.0,SSD
28852,2.651350854622312,0.010009765625,zipfile,0.00099945068359375,SSD
28852,2.64285059998168,0.007006168365478516,tarfile,0.0010018348693847656,SSD
28218,2.7135301471295317,0.001001119613647461,gzip,0.0010008811950683594,SSD
28218,2.7046870507044956,0.0,zlib,0.0,SSD
28218,3.223072529982867,0.0020020008087158203,bz2,0.0010008811950683594,SSD
28218,3.107709251101322,0.009008646011352539,lzma,0.0010004043579101562,SSD
28218,2.656311776334369,0.008007287979125977,zipfile,0.001001119613647461,SSD
28218,2.648334115438761,0.007006645202636719,tarfile,0.001001596450805664,SSD
27404,2.6858767029305106,0.001001119613647461,gzip,0.0,SSD
27404,2.6777408637873754,0.0,zlib,0.001001119613647461,SSD
27404,3.1655307843363754,0.0020024776458740234,bz2,0.0,SSD
27404,3.070820259973106,0.009007692337036133,lzma,0.0,SSD
27404,2.628933231005372,0.009008646011352539,zipfile,0.0010001659393310547,SSD
27404,2.6382978723404253,0.007006645202636719,tarfile,0.002001523971557617,SSD
25903,2.6845268939786506,0.0010006427764892578,gzip,0.0,SSD
25903,2.675100691934318,0.0010008811950683594,zlib,0.0,SSD
25903,3.1923835346315013,0.0020020008087158203,bz2,0.0,SSD
25903,3.0822227510709186,0.008007287979125977,lzma,0.0,SSD
25903,2.6236199736655523,0.009007930755615234,zipfile,0.001001119613647461,SSD
25903,2.630280259951259,0.007005929946899414,tarfile,0.0020024776458740234,SSD
22531,2.661351287502953,0.0010006427764892578,gzip,0.0,SSD
22531,2.6535154869862208,0.001001119613647461,zlib,0.0,SSD
22531,3.1133066187646814,0.0010008811950683594,bz2,0.0010008811950683594,SSD
22531,3.010555852485302,0.008006572723388672,lzma,0.0010013580322265625,SSD
22531,2.5954383135583456,0.009008169174194336,zipfile,0.001001119613647461,SSD
22531,2.5945416858590513,0.007006406784057617,tarfile,0.002002716064453125,SSD
24560,2.7704455724760293,0.001001119613647461,gzip,0.0,SSD
