file_size,compression_ratio,compression_time,compression_type,decompression_time,storage_type,file_type
91428,4.8559592096877,0.0130116939544677,gzip,0.0010008811950683,NVMe,csv
91428,4.551147394096272,0.0030028820037841,zlib,0.0,NVMe,csv
91428,6.631464423007181,0.0050041675567626,bz2,0.0020020008087158,NVMe,csv
91428,5.609079754601227,0.0240218639373779,lzma,0.0010011196136474,NVMe,csv
91428,4.515631945473404,0.0101163387298583,zipfile,0.0020031929016113,NVMe,csv
91428,4.786054546406324,0.0180163383483886,tarfile,0.0020015239715576,NVMe,csv
91474,4.849387690187139,0.0140128135681152,gzip,0.0,NVMe,csv
91474,4.567990012484395,0.003002643585205,zlib,0.0,NVMe,csv
91474,6.6706045358419015,0.0050041675567626,bz2,0.0020022392272949,NVMe,csv
91474,5.617415868337018,0.0240218639373779,lzma,0.0010011196136474,NVMe,csv
91474,4.532230094634098,0.009007453918457,zipfile,0.002002477645874,NVMe,csv
91474,4.778456877187484,0.0180160999298095,tarfile,0.0020022392272949,NVMe,csv
91393,4.835608465608465,0.0140125751495361,gzip,0.0,NVMe,csv
91393,4.555300802472212,0.0030028820037841,zlib,0.0,NVMe,csv
91393,6.6477305789933085,0.0050044059753417,bz2,0.0020017623901367,NVMe,csv
91393,5.626262004432406,0.0250227451324462,lzma,0.0,NVMe,csv
91393,4.519707235052668,0.0100090503692626,zipfile,0.0020020008087158,NVMe,csv
91393,4.764270447792316,0.0180170536041259,tarfile,0.0020015239715576,NVMe,csv
91398,4.856171298018171,0.0130107402801513,gzip,0.0,NVMe,csv
91398,4.5699,0.0030040740966796,zlib,0.0009999275207519,NVMe,csv
91398,6.6830944720678565,0.0050044059753417,bz2,0.0010011196136474,NVMe,csv
91398,5.621033210332104,0.0250234603881835,lzma,0.0010008811950683,NVMe,csv
91398,4.534080761980356,0.0110087394714355,zipfile,0.0010013580322265,NVMe,csv
91398,4.784985079315219,0.0180163383483886,tarfile,0.0020020008087158,NVMe,csv
367541,5.018857876338213,0.0580532550811767,gzip,0.0020010471343994,NVMe,csv
367541,4.693830376869341,0.0120108127593994,zlib,0.0010011196136474,NVMe,csv
367541,7.692521819209276,0.0230207443237304,bz2,0.0080077648162841,NVMe,csv
367541,6.276743630029373,0.1060965061187744,lzma,0.0030021667480468,NVMe,csv
367541,4.684378226125081,0.0210187435150146,zipfile,0.002002477645874,NVMe,csv
367541,4.998721558067104,0.0630576610565185,tarfile,0.0030033588409423,NVMe,csv
367538,5.034767123287671,0.0590536594390869,gzip,0.0010013580322265,NVMe,csv
367538,4.710515860301186,0.0120103359222412,zlib,0.0010011196136474,NVMe,csv
367538,7.6812054588392655,0.0230209827423095,bz2,0.0080072879791259,NVMe,csv
367538,6.276692397021654,0.1070969104766845,lzma,0.003002643585205,NVMe,csv
367538,4.7009963802872745,0.0210194587707519,zipfile,0.003002643585205,NVMe,csv
367538,5.014913561380289,0.0626626014709472,tarfile,0.003002643585205,NVMe,csv
367758,5.034470485160442,0.0580525398254394,gzip,0.0020020008087158,NVMe,csv
367758,4.71224837589534,0.0120110511779785,zlib,0.0010006427764892,NVMe,csv
367758,7.680345842992294,0.024022102355957,bz2,0.0070061683654785,NVMe,csv
367758,6.269314694851688,0.1080982685089111,lzma,0.003002643585205,NVMe,csv
367758,4.702727586603752,0.0210192203521728,zipfile,0.0030028820037841,NVMe,csv
367758,5.01456270964575,0.064058780670166,tarfile,0.0040037631988525,NVMe,csv
367503,5.044722645472141,0.0580525398254394,gzip,0.0010006427764892,NVMe,csv
367503,4.709765474817378,0.0120110511779785,zlib,0.0010006427764892,NVMe,csv
367503,7.718381148401731,0.024022102355957,bz2,0.0080070495605468,NVMe,csv
367503,6.284251025991792,0.1062569618225097,lzma,0.003002643585205,NVMe,csv
367503,4.7002481199161,0.0210189819335937,zipfile,0.0030028820037841,NVMe,csv
367503,5.0246513535684985,0.0630569458007812,tarfile,0.0030028820037841,NVMe,csv
367563,5.03145661369143,0.0590536594390869,gzip,0.0010008811950683,NVMe,csv
367563,4.7048064,0.0120110511779785,zlib,0.0010008811950683,NVMe,csv
367563,7.686064991008322,0.0230209827423095,bz2,0.0080072879791259,NVMe,csv
367563,6.281410212591428,0.1060962677001953,lzma,0.003002643585205,NVMe,csv
367563,4.6953106038348045,0.0220201015472412,zipfile,0.0020020008087158,NVMe,csv
367563,5.011493782722513,0.0630574226379394,tarfile,0.0030028820037841,NVMe,csv
367737,5.0441957121106125,0.0580525398254394,gzip,0.0010011196136474,NVMe,csv
367737,4.715967528886723,0.0120108127593994,zlib,0.0010013580322265,NVMe,csv
367737,7.695174520800201,0.0240213871002197,bz2,0.008007526397705,NVMe,csv
367737,6.2886825364252,0.1060960292816162,lzma,0.0030028820037841,NVMe,csv
367737,4.706431176809368,0.0210192203521728,zipfile,0.0020017623901367,NVMe,csv
367737,5.024004043936827,0.0630569458007812,tarfile,0.0030021667480468,NVMe,csv
367818,5.026346716226188,0.0580525398254394,gzip,0.0020017623901367,NVMe,csv
367818,4.700489450614049,0.0120108127593994,zlib,0.0010011196136474,NVMe,csv
367818,7.672625628402762,0.0230207443237304,bz2,0.0080070495605468,NVMe,csv
367818,6.250730745700496,0.1060967445373535,lzma,0.0040035247802734,NVMe,csv
367818,4.691017612774044,0.0210189819335937,zipfile,0.0020017623901367,NVMe,csv
367818,5.006506234006642,0.0630574226379394,tarfile,0.003002643585205,NVMe,csv
367434,5.044467936133115,0.0580525398254394,gzip,0.0010008811950683,NVMe,csv
367434,4.710571523807082,0.0120110511779785,zlib,0.0010011196136474,NVMe,csv
367434,7.698177247014456,0.0240216255187988,bz2,0.0070061683654785,NVMe,csv
367434,6.279205687333379,0.1070973873138427,lzma,0.0030028820037841,NVMe,csv
367434,4.701049129989765,0.0210194587707519,zipfile,0.0030024051666259,NVMe,csv
367434,5.023845333479176,0.0640580654144287,tarfile,0.0040037631988525,NVMe,csv
367472,5.031657355679702,0.0580525398254394,gzip,0.0010008811950683,NVMe,csv
367472,4.702738674174558,0.0120110511779785,zlib,0.0010008811950683,NVMe,csv
367472,7.653115628123959,0.0230212211608886,bz2,0.0080070495605468,NVMe,csv
367472,6.277280491971302,0.1060965061187744,lzma,0.003002643585205,NVMe,csv
367472,4.69324886970293,0.0210192203521728,zipfile,0.0020017623901367,NVMe,csv
367472,5.01168801058331,0.0620558261871337,tarfile,0.0040035247802734,NVMe,csv
367562,5.033096441139821,0.0580530166625976,gzip,0.0010006427764892,NVMe,csv
367562,4.697758237263874,0.0130119323730468,zlib,0.0,NVMe,csv
367562,7.678657976100944,0.0240218639373779,bz2,0.0080072879791259,NVMe,csv
367562,6.256161492374727,0.1070976257324218,lzma,0.0030024051666259,NVMe,csv
367562,4.68829081632653,0.0210189819335937,zipfile,0.0030028820037841,NVMe,csv
367562,5.0135308399487135,0.0640580654144287,tarfile,0.003002643585205,NVMe,csv
108585,9.778027915353444,0.0030024051666259,gzip,0.0,NVMe,file
108585,9.273635664873174,0.0020020008087158,zlib,0.0,NVMe,file
108585,12.192342241185717,0.0070061683654785,bz2,0.0010013580322265,NVMe,file
108585,11.35826359832636,0.0190167427062988,lzma,0.0010011196136474,NVMe,file
108585,9.127090863242834,0.0080072879791259,zipfile,0.0020017623901367,NVMe,file
108585,9.611843852350182,0.0070064067840576,tarfile,0.0020020008087158,NVMe,file
108278,9.79891402714932,0.003002643585205,gzip,0.0,NVMe,file
108278,9.363369076444137,0.0020020008087158,zlib,0.0,NVMe,file
108278,12.49025262429346,0.0060055255889892,bz2,0.0020015239715576,NVMe,file
108278,11.33089158643784,0.0190174579620361,lzma,0.0010008811950683,NVMe,file
108278,9.21358066712049,0.0070064067840576,zipfile,0.0010006427764892,NVMe,file
108278,9.634988432105358,0.0070061683654785,tarfile,0.0020017623901367,NVMe,file
167813770,10.694249661434965,4.730880260467529,gzip,0.61773681640625,NVMe,file
167813770,10.079655782172368,2.1219282150268555,zlib,0.2732481956481933,NVMe,file
167813770,17.139064126602968,13.572397470474243,bz2,2.9220218658447266,NVMe,file
167813770,15.396984824112598,37.80382323265076,lzma,1.0039119720458984,NVMe,file
167813770,10.079554070988834,2.3093786239624023,zipfile,0.324455976486206,NVMe,file
167813770,10.694085419740912,4.835388422012329,tarfile,0.5004541873931885,NVMe,file
205242368,10.500992885971502,5.712744474411011,gzip,0.5595090389251709,NVMe,file
205242368,9.917169493507334,2.587660312652588,zlib,0.3202910423278808,NVMe,file
205242368,17.160045847662122,15.367539644241331,bz2,3.5290727615356445,NVMe,file
205242368,15.250589166470252,45.69673562049866,lzma,1.1692566871643066,NVMe,file
205242368,9.917088990109503,2.879925012588501,zipfile,0.431394100189209,NVMe,file
205242368,10.500861793389792,5.798220157623291,tarfile,0.6055502891540527,NVMe,file
126,1.2,0.0010004043579101,gzip,0.0,NVMe,file
126,1.3548387096774193,0.0,zlib,0.0,NVMe,file
126,1.0677966101694916,0.0,bz2,0.0,NVMe,file
126,0.8513513513513513,0.003002643585205,lzma,0.0,NVMe,file
126,0.4452296819787986,0.0070071220397949,zipfile,0.0010006427764892,NVMe,file
126,0.45,0.0060057640075683,tarfile,0.0010011196136474,NVMe,file
28852,2.705551387846962,0.0020012855529785,gzip,0.0,NVMe,file
28852,2.698466142910587,0.0010008811950683,zlib,0.0,NVMe,file
28852,3.1997338360873906,0.0020017623901367,bz2,0.0,NVMe,file
28852,3.1037005163511187,0.008007526397705,lzma,0.0010006427764892,NVMe,file
28852,2.651350854622312,0.0070064067840576,zipfile,0.0010008811950683,NVMe,file
28852,2.64285059998168,0.0060055255889892,tarfile,0.0010006427764892,NVMe,file
28218,2.713530147129532,0.0010013580322265,gzip,0.0010006427764892,NVMe,file
28218,2.704687050704496,0.0,zlib,0.0,NVMe,file
28218,3.223072529982867,0.0020020008087158,bz2,0.0010004043579101,NVMe,file
28218,3.107709251101322,0.008007526397705,lzma,0.0,NVMe,file
28218,2.656311776334369,0.0070064067840576,zipfile,0.0010006427764892,NVMe,file
28218,2.648334115438761,0.0060055255889892,tarfile,0.0010008811950683,NVMe,file
27404,2.6858767029305106,0.0010008811950683,gzip,0.0010006427764892,NVMe,file
27404,2.6777408637873754,0.0,zlib,0.0010011196136474,NVMe,file
27404,3.165530784336376,0.0010008811950683,bz2,0.0010008811950683,NVMe,file
27404,3.070820259973106,0.0080072879791259,lzma,0.0,NVMe,file
27404,2.628933231005372,0.0070064067840576,zipfile,0.0010008811950683,NVMe,file
27404,2.6382978723404253,0.0060055255889892,tarfile,0.0010008811950683,NVMe,file
25903,2.68452689397865,0.0010006427764892,gzip,0.0,NVMe,file
25903,2.675100691934318,0.0010006427764892,zlib,0.0,NVMe,file
25903,3.1923835346315013,0.0020020008087158,bz2,0.0010006427764892,NVMe,file
25903,3.0822227510709186,0.0070066452026367,lzma,0.0,NVMe,file
25903,2.6236199736655523,0.0070066452026367,zipfile,0.0010006427764892,NVMe,file
25903,2.630280259951259,0.0060055255889892,tarfile,0.0020017623901367,NVMe,file
22531,2.661351287502953,0.0010013580322265,gzip,0.0,NVMe,file
22531,2.6535154869862208,0.0010006427764892,zlib,0.0,NVMe,file
22531,3.1133066187646814,0.0020017623901367,bz2,0.0,NVMe,file
22531,3.010555852485302,0.0070066452026367,lzma,0.0,NVMe,file
22531,2.5954383135583456,0.0060052871704101,zipfile,0.0020020008087158,NVMe,file
22531,2.5945416858590518,0.0050044059753417,tarfile,0.0010011196136474,NVMe,file
24560,2.7704455724760293,0.0010008811950683,gzip,0.0,NVMe,file
24560,2.764209341586944,0.0010008811950683,zlib,0.0,NVMe,file
24560,3.272485009993338,0.0020017623901367,bz2,0.0,NVMe,file
24560,3.166580711707065,0.0070068836212158,lzma,0.0010004043579101,NVMe,file
24560,2.70633608815427,0.0070064067840576,zipfile,0.0010008811950683,NVMe,file
24560,2.709022722258989,0.0050044059753417,tarfile,0.0020020008087158,NVMe,file
24235,2.656763867572901,0.0010006427764892,gzip,0.0,NVMe,file
24235,2.648344443230248,0.0010008811950683,zlib,0.0,NVMe,file
24235,3.1343766166580447,0.0020017623901367,bz2,0.0,NVMe,file
24235,3.030890445222611,0.0070064067840576,lzma,0.0010011196136474,NVMe,file
24235,2.5944759661706454,0.0060055255889892,zipfile,0.0010008811950683,NVMe,file
24235,2.597813270446993,0.0050046443939208,tarfile,0.0020020008087158,NVMe,file
25797,2.6655300681959084,0.0020020008087158,gzip,0.0,NVMe,file
25797,2.6597587380142285,0.0010008811950683,zlib,0.0,NVMe,file
25797,3.13870300523178,0.0020015239715576,bz2,0.0,NVMe,file
25797,3.0420990566037736,0.008007526397705,lzma,0.0,NVMe,file
25797,2.608656082515927,0.0070061683654785,zipfile,0.0010008811950683,NVMe,file
25797,2.612089914945322,0.0050036907196044,tarfile,0.0020017623901367,NVMe,file
28045,2.72493198600855,0.0020022392272949,gzip,0.0,NVMe,file
28045,2.715696717342888,0.0010004043579101,zlib,0.0,NVMe,file
28045,3.224675175347821,0.0020020008087158,bz2,0.0,NVMe,file
28045,3.113343694493784,0.0080070495605468,lzma,0.0010013580322265,NVMe,file
28045,2.666634971950176,0.006005048751831,zipfile,0.0010011196136474,NVMe,file
28045,2.6788614003247684,0.0060052871704101,tarfile,0.0020012855529785,NVMe,file
30853,2.7052170100832966,0.0010011196136474,gzip,0.0010008811950683,NVMe,file
30853,2.6974121349886344,0.0010011196136474,zlib,0.0,NVMe,file
30853,3.207505977752365,0.0020020008087158,bz2,0.0,NVMe,file
30853,3.096447209955841,0.0090081691741943,lzma,0.0,NVMe,file
30853,2.653336773305813,0.0070064067840576,zipfile,0.0020017623901367,NVMe,file
30853,2.650373679237179,0.0060052871704101,tarfile,0.002002477645874,NVMe,file
32002,2.724965940054496,0.0010015964508056,gzip,0.001000165939331,NVMe,file
32002,2.715946702877026,0.0010008811950683,zlib,0.0,NVMe,file
32002,3.222434800120834,0.0020020008087158,bz2,0.0010008811950683,NVMe,file
32002,3.1215372610222394,0.0080077648162841,lzma,0.0010008811950683,NVMe,file
32002,2.672847239622484,0.0070068836212158,zipfile,0.0010006427764892,NVMe,file
32002,2.672847239622484,0.0060048103332519,tarfile,0.0010013580322265,NVMe,file
34738,2.7404544020195645,0.0010011196136474,gzip,0.0010004043579101,NVMe,file
34738,2.730974842767296,0.0010004043579101,zlib,0.0,NVMe,file
34738,3.2456320657759505,0.0020020008087158,bz2,0.0010006427764892,NVMe,file
34738,3.152268602540835,0.0090088844299316,lzma,0.0,NVMe,file
34738,2.690782339271882,0.0070064067840576,zipfile,0.0020022392272949,NVMe,file
34738,2.6953755431409063,0.0060052871704101,tarfile,0.0020017623901367,NVMe,file
36564,2.7514485664835577,0.0020027160644531,gzip,0.0,NVMe,file
36564,2.7394920206788043,0.0010006427764892,zlib,0.0010008811950683,NVMe,file
36564,3.297916478758907,0.0020020008087158,bz2,0.0010006427764892,NVMe,file
36564,3.185017421602788,0.0090084075927734,lzma,0.0010006427764892,NVMe,file
36564,2.701041589717072,0.0070066452026367,zipfile,0.0010008811950683,NVMe,file
36564,2.7106531247683296,0.006005048751831,tarfile,0.0020015239715576,NVMe,file
38655,2.722950126796281,0.0020010471343994,gzip,0.0,NVMe,file
38655,2.71225091215268,0.0010008811950683,zlib,0.0,NVMe,file
38655,3.219372032980761,0.0030028820037841,bz2,0.0010008811950683,NVMe,file
38655,3.137581168831169,0.0090088844299316,lzma,0.0010006427764892,NVMe,file
38655,2.6765683423348565,0.0070066452026367,zipfile,0.0020017623901367,NVMe,file
38655,2.674531239189096,0.0070064067840576,tarfile,0.0020020008087158,NVMe,file
39071,2.7688328254553185,0.0020015239715576,gzip,0.0,NVMe,file
39071,2.760421082379539,0.0020020008087158,zlib,0.0,NVMe,file
39071,3.299636854995355,0.0020020008087158,bz2,0.0010013580322265,NVMe,file
39071,3.18478969677209,0.0100085735321044,lzma,0.0,NVMe,file
39071,2.723856664807585,0.0090081691741943,zipfile,0.0010008811950683,NVMe,file
39071,2.7196853682305444,0.0070061683654785,tarfile,0.0020017623901367,NVMe,file
40257,2.770612525808672,0.002002477645874,gzip,0.0,NVMe,file
40257,2.759786110920683,0.0010011196136474,zlib,0.0,NVMe,file
40257,3.297861882526419,0.003002643585205,bz2,0.0010008811950683,NVMe,file
40257,3.203134945894335,0.0090081691741943,lzma,0.0010011196136474,NVMe,file
40257,2.7243012790146848,0.0090079307556152,zipfile,0.0010006427764892,NVMe,file
40257,2.72393260707761,0.0080082416534423,tarfile,0.0020020008087158,NVMe,file
39455,2.802998010798522,0.003002643585205,gzip,0.0,NVMe,file
39455,2.7926812004530013,0.0010006427764892,zlib,0.0,NVMe,file
39455,3.3535911602209945,0.0030031204223632,bz2,0.0010011196136474,NVMe,file
39455,3.228723404255319,0.0090076923370361,lzma,0.0010006427764892,NVMe,file
39455,2.755622293616427,0.0090084075927734,zipfile,0.0010008811950683,NVMe,file
39455,2.753314724354501,0.0080068111419677,tarfile,0.0020020008087158,NVMe,file
37506,2.826588288491974,0.0020020008087158,gzip,0.0,NVMe,file
37506,2.813442352411672,0.0010008811950683,zlib,0.0010008811950683,NVMe,file
37506,3.3923661360347324,0.0020017623901367,bz2,0.0010011196136474,NVMe,file
37506,3.272774869109948,0.0100085735321044,lzma,0.0,NVMe,file
37506,2.7739072553805197,0.0090088844299316,zipfile,0.0020010471343994,NVMe,file
37506,2.7875139353400225,0.0070064067840576,tarfile,0.0020022392272949,NVMe,file
35759,2.740993407941132,0.0020020008087158,gzip,0.0,NVMe,file
35759,2.7319886927954773,0.0020017623901367,zlib,0.0,NVMe,file
35759,3.246096586782861,0.0020017623901367,bz2,0.0010011196136474,NVMe,file
35759,3.143372011251758,0.0100088119506835,lzma,0.0,NVMe,file
35759,2.692898561638678,0.0090081691741943,zipfile,0.0020022392272949,NVMe,file
