file_size,compression_ratio,compression_time,compression_type,decompression_time,storage_type,file_type
91428,4.8559592096877,0.013011693954467773,gzip,0.0010008811950683594,NVMe,csv
91428,4.5511473940962714,0.0030028820037841797,zlib,0.0,NVMe,csv
91428,6.631464423007181,0.005004167556762695,bz2,0.0020020008087158203,NVMe,csv
91428,5.609079754601227,0.02402186393737793,lzma,0.001001119613647461,NVMe,csv
91428,4.5156319454734035,0.010116338729858398,zipfile,0.002003192901611328,NVMe,csv
91428,4.786054546406324,0.018016338348388672,tarfile,0.002001523971557617,NVMe,csv
91474,4.849387690187139,0.014012813568115234,gzip,0.0,NVMe,csv
91474,4.567990012484395,0.003002643585205078,zlib,0.0,NVMe,csv
91474,6.6706045358419015,0.005004167556762695,bz2,0.002002239227294922,NVMe,csv
91474,5.617415868337018,0.02402186393737793,lzma,0.001001119613647461,NVMe,csv
91474,4.532230094634098,0.009007453918457031,zipfile,0.0020024776458740234,NVMe,csv
91474,4.778456877187484,0.01801609992980957,tarfile,0.002002239227294922,NVMe,csv
91393,4.835608465608465,0.014012575149536133,gzip,0.0,NVMe,csv
91393,4.555300802472212,0.0030028820037841797,zlib,0.0,NVMe,csv
91393,6.6477305789933085,0.005004405975341797,bz2,0.0020017623901367188,NVMe,csv
91393,5.626262004432406,0.02502274513244629,lzma,0.0,NVMe,csv
91393,4.519707235052668,0.010009050369262695,zipfile,0.0020020008087158203,NVMe,csv
91393,4.764270447792316,0.018017053604125977,tarfile,0.002001523971557617,NVMe,csv
91398,4.856171298018171,0.013010740280151367,gzip,0.0,NVMe,csv
91398,4.5699,0.0030040740966796875,zlib,0.0009999275207519531,NVMe,csv
91398,6.6830944720678565,0.005004405975341797,bz2,0.001001119613647461,NVMe,csv
91398,5.6210332103321035,0.025023460388183594,lzma,0.0010008811950683594,NVMe,csv
91398,4.534080761980356,0.011008739471435547,zipfile,0.0010013580322265625,NVMe,csv
91398,4.784985079315219,0.018016338348388672,tarfile,0.0020020008087158203,NVMe,csv
367541,5.018857876338213,0.05805325508117676,gzip,0.002001047134399414,NVMe,csv
367541,4.693830376869341,0.012010812759399414,zlib,0.001001119613647461,NVMe,csv
367541,7.692521819209276,0.02302074432373047,bz2,0.00800776481628418,NVMe,csv
367541,6.276743630029373,0.10609650611877441,lzma,0.003002166748046875,NVMe,csv
367541,4.684378226125081,0.02101874351501465,zipfile,0.0020024776458740234,NVMe,csv
367541,4.998721558067104,0.06305766105651855,tarfile,0.003003358840942383,NVMe,csv
367538,5.034767123287671,0.059053659439086914,gzip,0.0010013580322265625,NVMe,csv
367538,4.710515860301186,0.012010335922241211,zlib,0.001001119613647461,NVMe,csv
367538,7.6812054588392655,0.02302098274230957,bz2,0.008007287979125977,NVMe,csv
367538,6.276692397021654,0.10709691047668457,lzma,0.003002643585205078,NVMe,csv
367538,4.7009963802872745,0.021019458770751953,zipfile,0.003002643585205078,NVMe,csv
367538,5.014913561380289,0.06266260147094727,tarfile,0.003002643585205078,NVMe,csv
367758,5.034470485160442,0.05805253982543945,gzip,0.0020020008087158203,NVMe,csv
367758,4.7122483758953395,0.012011051177978516,zlib,0.0010006427764892578,NVMe,csv
367758,7.680345842992294,0.02402210235595703,bz2,0.007006168365478516,NVMe,csv
367758,6.269314694851688,0.10809826850891113,lzma,0.003002643585205078,NVMe,csv
367758,4.702727586603752,0.02101922035217285,zipfile,0.0030028820037841797,NVMe,csv
367758,5.01456270964575,0.06405878067016602,tarfile,0.004003763198852539,NVMe,csv
367503,5.044722645472141,0.05805253982543945,gzip,0.0010006427764892578,NVMe,csv
367503,4.709765474817378,0.012011051177978516,zlib,0.0010006427764892578,NVMe,csv
367503,7.718381148401731,0.02402210235595703,bz2,0.008007049560546875,NVMe,csv
367503,6.284251025991792,0.10625696182250977,lzma,0.003002643585205078,NVMe,csv
367503,4.7002481199160995,0.02101898193359375,zipfile,0.0030028820037841797,NVMe,csv
367503,5.0246513535684985,0.06305694580078125,tarfile,0.0030028820037841797,NVMe,csv
367563,5.03145661369143,0.059053659439086914,gzip,0.0010008811950683594,NVMe,csv
367563,4.7048064,0.012011051177978516,zlib,0.0010008811950683594,NVMe,csv
367563,7.6860649910083225,0.02302098274230957,bz2,0.008007287979125977,NVMe,csv
367563,6.281410212591428,0.10609626770019531,lzma,0.003002643585205078,NVMe,csv
367563,4.6953106038348045,0.02202010154724121,zipfile,0.0020020008087158203,NVMe,csv
367563,5.011493782722513,0.06305742263793945,tarfile,0.0030028820037841797,NVMe,csv
367737,5.0441957121106125,0.05805253982543945,gzip,0.001001119613647461,NVMe,csv
367737,4.715967528886723,0.012010812759399414,zlib,0.0010013580322265625,NVMe,csv
367737,7.695174520800201,0.024021387100219727,bz2,0.008007526397705078,NVMe,csv
367737,6.2886825364252,0.10609602928161621,lzma,0.0030028820037841797,NVMe,csv
367737,4.706431176809368,0.02101922035217285,zipfile,0.0020017623901367188,NVMe,csv
367737,5.024004043936827,0.06305694580078125,tarfile,0.003002166748046875,NVMe,csv
367818,5.026346716226188,0.05805253982543945,gzip,0.0020017623901367188,NVMe,csv
367818,4.700489450614049,0.012010812759399414,zlib,0.001001119613647461,NVMe,csv
367818,7.672625628402762,0.02302074432373047,bz2,0.008007049560546875,NVMe,csv
367818,6.250730745700496,0.10609674453735352,lzma,0.0040035247802734375,NVMe,csv
367818,4.6910176127740435,0.02101898193359375,zipfile,0.0020017623901367188,NVMe,csv
367818,5.006506234006642,0.06305742263793945,tarfile,0.003002643585205078,NVMe,csv
367434,5.044467936133115,0.05805253982543945,gzip,0.0010008811950683594,NVMe,csv
367434,4.710571523807082,0.012011051177978516,zlib,0.001001119613647461,NVMe,csv
367434,7.698177247014456,0.024021625518798828,bz2,0.007006168365478516,NVMe,csv
367434,6.279205687333379,0.10709738731384277,lzma,0.0030028820037841797,NVMe,csv
367434,4.701049129989765,0.021019458770751953,zipfile,0.0030024051666259766,NVMe,csv
367434,5.023845333479176,0.06405806541442871,tarfile,0.004003763198852539,NVMe,csv
367472,5.031657355679702,0.05805253982543945,gzip,0.0010008811950683594,NVMe,csv
367472,4.702738674174558,0.012011051177978516,zlib,0.0010008811950683594,NVMe,csv
367472,7.653115628123959,0.023021221160888672,bz2,0.008007049560546875,NVMe,csv
367472,6.277280491971302,0.10609650611877441,lzma,0.003002643585205078,NVMe,csv
367472,4.69324886970293,0.02101922035217285,zipfile,0.0020017623901367188,NVMe,csv
367472,5.01168801058331,0.06205582618713379,tarfile,0.0040035247802734375,NVMe,csv
367562,5.033096441139821,0.058053016662597656,gzip,0.0010006427764892578,NVMe,csv
367562,4.697758237263874,0.013011932373046875,zlib,0.0,NVMe,csv
367562,7.678657976100944,0.02402186393737793,bz2,0.008007287979125977,NVMe,csv
367562,6.256161492374727,0.10709762573242188,lzma,0.0030024051666259766,NVMe,csv
367562,4.68829081632653,0.02101898193359375,zipfile,0.0030028820037841797,NVMe,csv
367562,5.0135308399487135,0.06405806541442871,tarfile,0.003002643585205078,NVMe,csv
108585,9.778027915353444,0.0030024051666259766,gzip,0.0,NVMe,NASA_access_log_Aug95-part
108585,9.273635664873174,0.0020020008087158203,zlib,0.0,NVMe,NASA_access_log_Aug95-part
108585,12.192342241185717,0.007006168365478516,bz2,0.0010013580322265625,NVMe,NASA_access_log_Aug95-part
108585,11.35826359832636,0.019016742706298828,lzma,0.001001119613647461,NVMe,NASA_access_log_Aug95-part
108585,9.127090863242834,0.008007287979125977,zipfile,0.0020017623901367188,NVMe,NASA_access_log_Aug95-part
108585,9.611843852350182,0.007006406784057617,tarfile,0.0020020008087158203,NVMe,NASA_access_log_Aug95-part
108278,9.798914027149321,0.003002643585205078,gzip,0.0,NVMe,NASA_access_log_Jul95-part
108278,9.363369076444137,0.0020020008087158203,zlib,0.0,NVMe,NASA_access_log_Jul95-part
108278,12.49025262429346,0.006005525588989258,bz2,0.002001523971557617,NVMe,NASA_access_log_Jul95-part
108278,11.33089158643784,0.019017457962036133,lzma,0.0010008811950683594,NVMe,NASA_access_log_Jul95-part
108278,9.21358066712049,0.007006406784057617,zipfile,0.0010006427764892578,NVMe,NASA_access_log_Jul95-part
108278,9.634988432105358,0.007006168365478516,tarfile,0.0020017623901367188,NVMe,NASA_access_log_Jul95-part
167813770,10.694249661434965,4.730880260467529,gzip,0.61773681640625,NVMe,access_log_Aug95
167813770,10.079655782172367,2.1219282150268555,zlib,0.27324819564819336,NVMe,access_log_Aug95
167813770,17.139064126602968,13.572397470474243,bz2,2.9220218658447266,NVMe,access_log_Aug95
167813770,15.396984824112598,37.80382323265076,lzma,1.0039119720458984,NVMe,access_log_Aug95
167813770,10.079554070988834,2.3093786239624023,zipfile,0.32445597648620605,NVMe,access_log_Aug95
167813770,10.694085419740912,4.835388422012329,tarfile,0.5004541873931885,NVMe,access_log_Aug95
205242368,10.500992885971502,5.712744474411011,gzip,0.5595090389251709,NVMe,access_log_Jul95
205242368,9.917169493507334,2.587660312652588,zlib,0.32029104232788086,NVMe,access_log_Jul95
205242368,17.160045847662122,15.367539644241333,bz2,3.5290727615356445,NVMe,access_log_Jul95
205242368,15.250589166470252,45.69673562049866,lzma,1.1692566871643066,NVMe,access_log_Jul95
205242368,9.917088990109503,2.879925012588501,zipfile,0.431394100189209,NVMe,access_log_Jul95
205242368,10.500861793389793,5.798220157623291,tarfile,0.6055502891540527,NVMe,access_log_Jul95
126,1.2,0.0010004043579101562,gzip,0.0,NVMe,pagecounts-20160801-120000
126,1.3548387096774193,0.0,zlib,0.0,NVMe,pagecounts-20160801-120000
126,1.0677966101694916,0.0,bz2,0.0,NVMe,pagecounts-20160801-120000
126,0.8513513513513513,0.003002643585205078,lzma,0.0,NVMe,pagecounts-20160801-120000
126,0.4452296819787986,0.007007122039794922,zipfile,0.0010006427764892578,NVMe,pagecounts-20160801-120000
126,0.45,0.006005764007568359,tarfile,0.001001119613647461,NVMe,pagecounts-20160801-120000
28852,2.705551387846962,0.0020012855529785156,gzip,0.0,NVMe,pagecounts-20160801-000000
28852,2.698466142910587,0.0010008811950683594,zlib,0.0,NVMe,pagecounts-20160801-000000
28852,3.1997338360873906,0.0020017623901367188,bz2,0.0,NVMe,pagecounts-20160801-000000
28852,3.1037005163511187,0.008007526397705078,lzma,0.0010006427764892578,NVMe,pagecounts-20160801-000000
28852,2.651350854622312,0.007006406784057617,zipfile,0.0010008811950683594,NVMe,pagecounts-20160801-000000
28852,2.64285059998168,0.006005525588989258,tarfile,0.0010006427764892578,NVMe,pagecounts-20160801-000000
28218,2.7135301471295317,0.0010013580322265625,gzip,0.0010006427764892578,NVMe,pagecounts-20160801-010000
28218,2.7046870507044956,0.0,zlib,0.0,NVMe,pagecounts-20160801-010000
28218,3.223072529982867,0.0020020008087158203,bz2,0.0010004043579101562,NVMe,pagecounts-20160801-010000
28218,3.107709251101322,0.008007526397705078,lzma,0.0,NVMe,pagecounts-20160801-010000
28218,2.656311776334369,0.007006406784057617,zipfile,0.0010006427764892578,NVMe,pagecounts-20160801-010000
28218,2.648334115438761,0.006005525588989258,tarfile,0.0010008811950683594,NVMe,pagecounts-20160801-010000
27404,2.6858767029305106,0.0010008811950683594,gzip,0.0010006427764892578,NVMe,pagecounts-20160801-020000
27404,2.6777408637873754,0.0,zlib,0.001001119613647461,NVMe,pagecounts-20160801-020000
27404,3.1655307843363754,0.0010008811950683594,bz2,0.0010008811950683594,NVMe,pagecounts-20160801-020000
27404,3.070820259973106,0.008007287979125977,lzma,0.0,NVMe,pagecounts-20160801-020000
27404,2.628933231005372,0.007006406784057617,zipfile,0.0010008811950683594,NVMe,pagecounts-20160801-020000
27404,2.6382978723404253,0.006005525588989258,tarfile,0.0010008811950683594,NVMe,pagecounts-20160801-020000
25903,2.6845268939786506,0.0010006427764892578,gzip,0.0,NVMe,pagecounts-20160801-030000
25903,2.675100691934318,0.0010006427764892578,zlib,0.0,NVMe,pagecounts-20160801-030000
25903,3.1923835346315013,0.0020020008087158203,bz2,0.0010006427764892578,NVMe,pagecounts-20160801-030000
